design,build,fub,stage,fe_logical_mw,fe_physical_mw,be_mw,wire_cap_pf,cell_cap_pf,area,cell_count,fanout,frequency_ghz
GPU_A,B001,Scheduler,FE_BE,82,94,101,18.2,7.1,1240,50000,8,2.5
GPU_A,B001,Decoder,FE_BE,51,57,60,9.4,4.8,830,32000,6,2.5
GPU_A,B001,Dispatch,FE_BE,38,41,47,7.9,3.6,610,24000,7,2.5
GPU_A,B001,Fetch,FE_BE,29,33,35,5.1,3.1,540,21000,5,2.5
GPU_A,B002,Scheduler,FE_BE,83,96,104,18.9,7.2,1250,50400,8,2.5
GPU_A,B002,Decoder,FE_BE,52,58,61,9.6,4.8,835,32100,6,2.5
GPU_A,B002,Dispatch,FE_BE,38,42,49,8.3,3.6,615,24100,7,2.5
GPU_A,B002,Fetch,FE_BE,30,33,36,5.2,3.1,542,21050,5,2.5
GPU_A,B003,Scheduler,FE_BE,84,97,108,19.8,7.2,1255,50500,8,2.5
GPU_A,B003,Decoder,FE_BE,52,58,63,10.1,4.9,840,32200,6,2.5
GPU_A,B003,Dispatch,FE_BE,39,42,50,8.6,3.7,618,24200,7,2.5
GPU_A,B003,Fetch,FE_BE,30,34,36,5.3,3.1,545,21100,5,2.5
